author,comment,likes,date,clean_comment,sentiment
@FasBeam,"Get quick and easy personal loan for vacations, renovations, rent, etc. with PayMe - Download the PayMe App Now - <a href=""https://paymeindia.onelink.me/ZBzZ/24pi9lb3"">https://paymeindia.onelink.me/ZBzZ/24pi9lb3</a>",34,2023-03-25T06:01:49Z,get quick easy personal loan vacations renovations rent etc payme download payme app href,Positive
@kl2515,XUV 400 real world range is 150km to 200km in city driving in L mode and fun mode .. waste,0,2024-09-16T14:59:27Z,xuv 400 real world range 150km 200km city driving l mode fun mode waste,Positive
@vratnajoshi130,NMC is new chemistry. LFP is old chemistry.,0,2024-09-05T11:47:28Z,nmc new chemistry lfp old chemistry,Neutral
@Napacarreviews,We actually booked the XUV 400 without taking a test drive  in the end we finely took a test drive and hate it lack on so many features hate the rear space absolutely hate the car.doesn&#39;t look nice,0,2024-05-04T11:38:12Z,actually booked xuv 400 without taking test drive end finely took test drive hate lack many features hate rear space absolutely hate cardoesn39t look nice,Negative
@1SBEEJ1407BEE,"<a href=""https://www.youtube.com/watch?v=qpf6D_GNbu0&amp;t=136"">2:16</a>  YOU HEADLESS CENTER PASSENGER!",0,2024-04-26T02:32:06Z,href headless center passenger,Neutral
@KushGehlot19,"Hello sir , muje Nexon Ev , empowered plus varient 18,50,000 mil rahi ha , nd gaddi dealership pe 4-5 din pahle hi aai ha , Leni chaiye kya ? Meri monthly running 1500-2000 km ha",0,2024-03-16T10:50:11Z,hello sir muje nexon ev empowered plus varient 1850000 mil rahi ha nd gaddi dealership pe 45 din pahle hi aai ha leni chaiye kya meri monthly running 15002000 km ha,Positive
@DeepakJAT0007,"L mode for one pedal driving ?<br>I mean all the automatics and EVs are supposed to be driven by single foot, no ?",1,2024-02-12T10:21:22Z,l mode one pedal driving mean automatics evs supposed driven single foot,Neutral
@MeandTheBoys-09,Am I the only one seeing  the unsymmetrical wheel in mahindra,0,2023-12-17T07:00:55Z,one seeing unsymmetrical wheel mahindra,Neutral
@dharmafollower3569,Am now in 2023 November going to buy mahindra xuv 400,0,2023-11-17T04:37:10Z,2023 november going buy mahindra xuv 400,Neutral
@dharmafollower3569,Lol. This is tata supporting channel. Look wise Mahindra is crazy.,0,2023-11-17T04:17:39Z,lol tata supporting channel look wise mahindra crazy,Positive
@sarthaksahil1,Are hindi bhe bol liya kar,0,2023-10-07T06:02:58Z,hindi bhe bol liya kar,Neutral
@PardeepSingh-kx8dp,All fake review this time.. i don&#39;t know why... so guys just drive mahindra 400 just once before you buy nexon ev... you will even forget the power of mini cooper electric. Don&#39;t trust on video here.. go and test drive mahindra ev once before buy anything... then you will all got that why i am saying its fake or paid review.,0,2023-09-30T04:42:12Z,fake review time don39t know guys drive mahindra 400 buy nexon ev even forget power mini cooper electric don39t trust video go test drive mahindra ev buy anything got saying fake paid review,Negative
@cricketffgaming8494,He said thay box car looks better than xuv😂,1,2023-09-22T07:22:43Z,said thay box car looks better xuv,Positive
@sabyasachighosh9385,I have a question for all EV owners - what do you guys do when you drive on first-time trips close to 350 km one-way without a single detour? Do you call the EV stations on the way beforehand? What if it&#39;s a weekend/holiday/festive day and the only EV stations available along the way are clogged and you face huge queues?,0,2023-09-18T22:00:03Z,question ev owners guys drive firsttime trips close 350 km oneway without single detour call ev stations way beforehand it39s weekendholidayfestive day ev stations available along way clogged face huge queues,Positive
@dhyeyapatel1626,Mahindra knew people will buy there car as there brand value is much higher after launch of scorpion n and xuv 700.,0,2023-09-09T10:57:06Z,mahindra knew people buy car brand value much higher launch scorpion n xuv 700,Positive
@AnanyaAnu-ze7ok,We can make camper with Xuv 400 flat roof also spacious inside..,0,2023-08-14T07:21:06Z,make camper xuv 400 flat roof also spacious inside,Neutral
@PGP-prabhakar,Nexon ev max is the best of best always. I own one and driven 21000 km so far . Absolutely happy owning Tata . To the Core nexon lover .,2,2023-07-27T16:01:59Z,nexon ev max best best always one driven 21000 km far absolutely happy owning tata core nexon lover,Positive
@myentertainment700,Nice explained👍,0,2023-07-21T19:14:15Z,nice explained,Positive
@KAMALIKATIWARI,Nexon,1,2023-07-20T15:05:34Z,nexon,Neutral
@Pankaj-sindwani,Mahindra is offering 1.3 lakh discount on Xuv 400 right now,1,2023-07-11T18:44:38Z,mahindra offering 13 lakh discount xuv 400 right,Neutral
@thetechyfy,16000 is not that much in 20+ lakh cars.,0,2023-07-11T01:48:46Z,16000 much 20 lakh cars,Neutral
@gamerbot763,"<a href=""https://www.youtube.com/watch?v=qpf6D_GNbu0&amp;t=174"">2:54</a> 🤣🤣 that voice is like a girl screeming",0,2023-07-10T04:29:34Z,href voice like girl screeming,Positive
@santoshlohar3234,Is Nexon ev max xm variant available....? My nearest tata dealership didn&#39;t accept my order for the same. According to them Nexon ev max XM variant is not in production.... Kindly help,0,2023-07-09T16:02:39Z,nexon ev max xm variant available nearest tata dealership didn39t accept order according nexon ev max xm variant production kindly help,Positive
@deepzyadav7142,Hindi nahi aati firangi saale,0,2023-07-06T09:15:01Z,hindi nahi aati firangi saale,Neutral
@soothingmeditationmusic6581,Nexon very ugly rear,0,2023-07-02T10:08:41Z,nexon ugly rear,Negative
@mr.rakeshbhukta99,Tata motors bist India kaa car,1,2023-06-22T07:36:18Z,tata motors bist india kaa car,Neutral
@chirantanshastri1296,Tata has ota updates and adaptable software and range updates... So no issue,2,2023-06-13T11:16:35Z,tata ota updates adaptable software range updates issue,Neutral
@हरी_शरणं,Its time tata increase the length of Nexon as well.,0,2023-06-01T10:43:48Z,time tata increase length nexon well,Positive
